Time(year-month-day h:m:s),Total solar irradiance (W/m2),Direct normal irradiance (W/m2),Global horicontal irradiance (W/m2),Air temperature  (°C) ,Atmosphere (hpa),Relative humidity (%),Power (MW)
2019-01-02 00:00:00,0,0,0,-8.56,866.46,44.9,0.27 
2019-01-02 00:15:00,0,0,0,-9.2,866.5,46.55,0.27 
2019-01-02 00:30:00,0,0,0,-8.93,866.46,46.72,0.27 
2019-01-02 00:45:00,0,0,0,-9.12,866.44,46.63,0.27 
2019-01-02 01:00:00,0,0,0,-9.33,866.49,47,0.27 
2019-01-02 01:15:00,0,0,0,-9.44,866.53,47.8,0.27 
2019-01-02 01:30:00,0,0,0,-9.49,866.55,47.66,0.27 
2019-01-02 01:45:00,0,0,0,-9.94,866.5,48.24,0.27 
2019-01-02 02:00:00,0,0,0,-9.76,866.51,48.59,0.28 
2019-01-02 02:15:00,0,0,0,-9.29,866.49,47.8,0.27 
2019-01-02 02:30:00,0,0,0,-9.62,866.45,47.55,0.27 
2019-01-02 02:45:00,0,0,0,-8.9,866.51,47.22,0.27 
2019-01-02 03:00:00,0,0,0,-9.28,866.45,47,0.28 
2019-01-02 03:15:00,0,0,0,-9.6,866.52,48.11,0.27 
2019-01-02 03:30:00,0,0,0,-8.77,866.54,46.7,0.28 
2019-01-02 03:45:00,0,0,0,-8.62,866.55,45.96,0.27 
2019-01-02 04:00:00,0,0,0,-8.81,866.5,46.39,0.27 
2019-01-02 04:15:00,0,0,0,-9.61,866.54,47.2,0.28 
2019-01-02 04:30:00,0,0,0,-9.79,866.57,48.63,0.28 
2019-01-02 04:45:00,0,0,0,-9.99,866.61,49.17,0.28 
2019-01-02 05:00:00,0,0,0,-10.04,866.69,49.4,0.27 
2019-01-02 05:15:00,0,0,0,-10.06,866.7,49.51,0.28 
2019-01-02 05:30:00,0,0,0,-9.89,866.68,49.72,0.28 
2019-01-02 05:45:00,0,0,0,-9.99,866.64,49.82,0.27 
2019-01-02 06:00:00,0,0,0,-9.84,866.47,49.82,0.27 
2019-01-02 06:15:00,0,0,0,-9.84,866.19,49.68,0.27 
2019-01-02 06:30:00,0,0,0,-9.73,866.03,49.68,0.28 
2019-01-02 06:45:00,0,0,0,-9.55,865.93,49.56,0.27 
2019-01-02 07:00:00,0,0,0,-9.5,865.79,49.51,0.27 
2019-01-02 07:15:00,0,0,0,-9.64,865.65,49.41,0.27 
2019-01-02 07:30:00,0,0,0,-9.9,865.63,50.34,0.27 
2019-01-02 07:45:00,0,0,0,-10.3,865.72,51.48,0.27 
2019-01-02 08:00:00,0,0,0,-10.32,865.75,52.54,0.27 
2019-01-02 08:15:00,0,0,0,-10.5,865.92,53.19,0.27 
2019-01-02 08:30:00,0,0,0,-10.79,866.02,54.01,0.27 
2019-01-02 08:45:00,0,0,0,-10.82,866.17,54.34,0.27 
2019-01-02 09:00:00,0,0,0,-11.04,866.3,53.87,0.27 
2019-01-02 09:15:00,0,0,0,-11.11,866.54,53.83,0.27 
2019-01-02 09:30:00,0,0,0,-10.85,866.55,53.72,0.28 
2019-01-02 09:45:00,0,0,0,-10.93,866.69,53.54,0.29 
2019-01-02 10:00:00,0,0,0,-10.91,866.89,53.37,0.43 
2019-01-02 10:15:00,9.19,6.63,5.1,-10.75,867.02,53.27,2.54 
2019-01-02 10:30:00,34.56,24.94,20.29,-10.18,867.11,52.94,6.64 
2019-01-02 10:45:00,68.91,49.72,39.97,-9.57,867.24,52.03,14.28 
2019-01-02 11:00:00,128.33,92.59,77.4,-9.28,867.21,51.35,21.70 
2019-01-02 11:15:00,194.88,140.61,121.99,-8.99,867.12,50.67,28.15 
2019-01-02 11:30:00,207.95,150.03,133.01,-8.47,867.05,49.58,35.69 
2019-01-02 11:45:00,241.29,174.09,156.4,-7.67,866.83,48.05,42.92 
2019-01-02 12:00:00,279.36,201.56,181.88,-6.88,866.73,45.91,53.07 
2019-01-02 12:15:00,292.45,211,218.63,-6.15,866.57,43.99,63.28 
2019-01-02 12:30:00,357.09,257.64,190.85,-5.72,866.42,41.99,60.70 
2019-01-02 12:45:00,366.79,264.64,240.98,-5.15,866.28,40.08,60.64 
2019-01-02 13:00:00,333.01,240.27,216.96,-5.35,866.15,39.59,46.97 
2019-01-02 13:15:00,222.37,160.44,139.54,-5.09,866.11,38.75,42.94 
2019-01-02 13:30:00,261.34,188.56,160.2,-4.64,866.13,37.27,48.49 
2019-01-02 13:45:00,384.49,277.41,257.49,-4.41,866.03,37.05,63.64 
2019-01-02 14:00:00,311.2,224.53,211.51,-4.15,865.83,35.07,52.60 
2019-01-02 14:15:00,309.13,223.03,207.93,-4.5,865.68,35.73,57.98 
2019-01-02 14:30:00,361.77,261.02,243.46,-4.27,865.57,35.08,69.63 
2019-01-02 14:45:00,397.45,286.76,269.24,-3.52,865.43,33.82,66.67 
2019-01-02 15:00:00,364.29,262.83,250.07,-3.44,865.26,33.11,66.86 
2019-01-02 15:15:00,387.1,279.29,269.89,-3.05,865.15,32.23,73.75 
2019-01-02 15:30:00,417.62,301.31,294.52,-3.28,864.97,32,77.97 
2019-01-02 15:45:00,411.75,297.08,289.98,-2.79,864.84,30.56,75.90 
2019-01-02 16:00:00,400.99,289.32,283.12,-2.59,864.73,30.85,72.83 
2019-01-02 16:15:00,382.75,276.16,269.36,-2.41,864.57,30.49,67.55 
2019-01-02 16:30:00,336.89,243.06,235.12,-3.04,864.54,31.06,57.09 
2019-01-02 16:45:00,329.72,237.89,228.1,-2.72,864.72,30.6,51.28 
2019-01-02 17:00:00,294.38,212.4,195.79,-2.72,864.77,30.49,49.35 
2019-01-02 17:15:00,215.3,155.34,136.74,-2.23,864.8,29.88,28.56 
2019-01-02 17:30:00,126.58,91.33,75.82,-2.79,864.95,30.32,14.33 
2019-01-02 17:45:00,122.27,88.22,76.53,-2.91,865.23,30.79,14.81 
2019-01-02 18:00:00,74,53.39,42.75,-2.81,865.47,30.93,9.58 
2019-01-02 18:15:00,56.7,40.91,31.07,-2.8,865.61,31.01,5.87 
2019-01-02 18:30:00,39.18,28.27,22.17,-2.95,865.84,31.28,4.48 
2019-01-02 18:45:00,29.21,21.08,16.18,-3.16,866.01,31.68,2.72 
2019-01-02 19:00:00,13.75,9.92,7.67,-3.28,866.15,32.17,0.94 
2019-01-02 19:15:00,2.83,2.04,1.4,-3.35,866.27,32.41,0.17 
2019-01-02 19:30:00,0,0,0,-3.6,866.39,34.45,0.28 
2019-01-02 19:45:00,0,0,0,-3.88,866.5,35.62,0.27 
2019-01-02 20:00:00,0,0,0,-4.06,866.67,36.26,0.27 
2019-01-02 20:15:00,0,0,0,-4.12,866.84,37.22,0.27 
2019-01-02 20:30:00,0,0,0,-4.21,866.93,37.38,0.27 
2019-01-02 20:45:00,0,0,0,-4.58,867.02,37.66,0.27 
2019-01-02 21:00:00,0,0,0,-4.6,867.04,37.5,0.27 
2019-01-02 21:15:00,0,0,0,-5,867.06,38.69,0.26 
2019-01-02 21:30:00,0,0,0,-5.05,867.17,39.05,0.26 
2019-01-02 21:45:00,0,0,0,-5.12,867.23,38.86,0.26 
2019-01-02 22:00:00,0,0,0,-5.42,867.28,39.2,0.26 
2019-01-02 22:15:00,0,0,0,-5.47,867.4,40.23,0.26 
2019-01-02 22:30:00,0,0,0,-5.28,867.34,39.68,0.26 
2019-01-02 22:45:00,0,0,0,-5.3,867.32,39.92,0.26 
2019-01-02 23:00:00,0,0,0,-5.32,867.26,39.84,0.26 
2019-01-02 23:15:00,0,0,0,-5.33,867.33,40.08,0.26 
2019-01-02 23:30:00,0,0,0,-5.57,867.45,40.44,0.27 
2019-01-02 23:45:00,0,0,0,-5.67,867.52,41.19,0.26 
2019-01-03 00:00:00,0,0,0,-5.59,867.6,41.11,0.26 
2019-01-03 00:15:00,0,0,0,-5.49,867.72,40.59,0.26 
2019-01-03 00:30:00,0,0,0,-5.66,867.66,41,0.26 
2019-01-03 00:45:00,0,0,0,-5.7,867.59,41.42,0.26 
2019-01-03 01:00:00,0,0,0,-5.73,867.7,41.66,0.26 
2019-01-03 01:15:00,0,0,0,-5.72,867.69,41.87,0.26 
2019-01-03 01:30:00,0,0,0,-5.78,867.74,41.93,0.26 
2019-01-03 01:45:00,0,0,0,-5.81,867.94,42.1,0.26 
2019-01-03 02:00:00,0,0,0,-5.78,868.01,42.1,0.26 
2019-01-03 02:15:00,0,0,0,-5.69,868.09,41.54,0.26 
2019-01-03 02:30:00,0,0,0,-5.66,868.19,41.19,0.26 
2019-01-03 02:45:00,0,0,0,-5.71,868.27,41.35,0.27 
2019-01-03 03:00:00,0,0,0,-5.79,868.37,41.73,0.26 
2019-01-03 03:15:00,0,0,0,-5.98,868.46,42.4,0.26 
2019-01-03 03:30:00,0,0,0,-6.11,868.58,43.15,0.26 
2019-01-03 03:45:00,0,0,0,-6.14,868.63,43.18,0.26 
2019-01-03 04:00:00,0,0,0,-6.13,868.92,43.16,0.27 
2019-01-03 04:15:00,0,0,0,-6.37,869.03,43.83,0.26 
2019-01-03 04:30:00,0,0,0,-6.38,869.11,43.78,0.27 
2019-01-03 04:45:00,0,0,0,-6.83,869.23,44.99,0.27 
2019-01-03 05:00:00,0,0,0,-6.84,869.27,45.12,0.27 
2019-01-03 05:15:00,0,0,0,-6.74,869.2,45.34,0.27 
2019-01-03 05:30:00,0,0,0,-6.68,869.12,45.39,0.27 
2019-01-03 05:45:00,0,0,0,-6.91,869.15,46.13,0.27 
2019-01-03 06:00:00,0,0,0,-7.01,869.05,46.32,0.27 
2019-01-03 06:15:00,0,0,0,-6.92,869.1,45.86,0.27 
2019-01-03 06:30:00,0,0,0,-6.76,868.96,45.62,0.26 
2019-01-03 06:45:00,0,0,0,-6.82,868.84,45.13,0.26 
2019-01-03 07:00:00,0,0,0,-7.23,868.9,45.8,0.26 
2019-01-03 07:15:00,0,0,0,-7.05,868.77,46.44,0.27 
2019-01-03 07:30:00,0,0,0,-7.11,868.84,45.81,0.26 
2019-01-03 07:45:00,0,0,0,-7.47,868.91,45.89,0.26 
2019-01-03 08:00:00,0,0,0,-8.22,869.03,46.26,0.26 
2019-01-03 08:15:00,0,0,0,-8.8,869.21,47.89,0.26 
2019-01-03 08:30:00,0,0,0,-8.92,869.37,48.72,0.27 
2019-01-03 08:45:00,0,0,0,-8.99,869.5,49.74,0.27 
2019-01-03 09:00:00,0,0,0,-9.37,869.67,49.55,0.26 
2019-01-03 09:15:00,0,0,0,-8.85,869.82,50.34,0.27 
2019-01-03 09:30:00,0,0,0,-9.18,869.92,49.59,0.27 
2019-01-03 09:45:00,0,0,0,-9.28,870.19,50.07,0.29 
2019-01-03 10:00:00,0,0,0,-9.54,870.33,50.35,0.24 
2019-01-03 10:15:00,4.71,3.4,2.74,-9.51,870.54,50.67,1.48 
2019-01-03 10:30:00,13.05,9.42,7.98,-9.29,870.65,50.66,3.11 
2019-01-03 10:45:00,37.03,26.71,22.52,-8.99,870.89,49.87,6.08 
2019-01-03 11:00:00,21.47,15.49,13.15,-8.22,870.89,48.84,5.15 
2019-01-03 11:15:00,38.75,27.96,24.17,-8.09,871.02,48.41,13.47 
2019-01-03 11:30:00,164.87,118.95,114.6,-7.51,871.06,47.68,32.72 
2019-01-03 11:45:00,196.56,141.82,135.52,-5.47,871.01,43.92,44.48 
2019-01-03 12:00:00,238.11,171.8,165.22,-3.26,870.84,39.22,52.47 
2019-01-03 12:15:00,209.15,150.9,187.61,-4.71,870.8,37.73,58.90 
2019-01-03 12:30:00,302.34,218.14,136.9,-4.43,870.65,38.16,65.09 
2019-01-03 12:45:00,334.17,241.11,237.56,-3.7,870.58,36.23,70.32 
2019-01-03 13:00:00,360.87,260.37,259.49,-3.18,870.42,35.94,74.51 
2019-01-03 13:15:00,384.06,277.1,277.82,-2.52,870.23,33.9,78.06 
2019-01-03 13:30:00,401.34,289.57,290.96,-2.09,870.12,33.34,80.79 
2019-01-03 13:45:00,417.53,301.25,302.36,-1.19,869.96,30.8,83.31 
2019-01-03 14:00:00,430.69,310.75,311.27,-0.67,869.79,29.65,84.72 
2019-01-03 14:15:00,438.93,316.69,317.6,-0.7,869.55,28.87,85.39 
2019-01-03 14:30:00,445.77,321.63,321.46,-0.52,869.26,28.83,85.43 
2019-01-03 14:45:00,441.65,318.65,320.11,-0.07,869.03,27.68,84.61 
2019-01-03 15:00:00,448.73,323.76,324.41,0,868.81,27.59,83.64 
2019-01-03 15:15:00,440.7,317.97,318.45,0.67,868.53,26.54,82.70 
2019-01-03 15:30:00,435.34,314.1,314.64,0.79,868.3,26.49,80.67 
2019-01-03 15:45:00,422.8,305.05,305.41,1.12,868.1,25.79,78.35 
2019-01-03 16:00:00,406.13,293.02,292.74,1.56,867.86,24.84,75.21 
2019-01-03 16:15:00,388.77,280.5,278.61,1.84,867.64,24.14,71.31 
2019-01-03 16:30:00,369.39,266.51,263.02,2.01,867.54,23.72,67.25 
2019-01-03 16:45:00,349.38,252.08,246.97,2.17,867.47,23.39,63.34 
2019-01-03 17:00:00,305.99,220.77,213.33,2.21,867.49,23.36,52.00 
2019-01-03 17:15:00,247.86,178.83,168.65,1.89,867.49,23.73,46.63 
2019-01-03 17:30:00,232.74,167.92,155.96,1.92,867.6,23.99,36.62 
2019-01-03 17:45:00,206.53,149.01,138.29,1.91,867.73,23.78,25.50 
2019-01-03 18:00:00,95.79,69.11,61.3,1.07,867.81,24.9,16.27 
2019-01-03 18:15:00,56.35,40.65,33.07,0.95,867.93,25.37,7.22 
2019-01-03 18:30:00,105.39,76.04,67.83,0.48,868.07,26.57,9.53 
2019-01-03 18:45:00,34.87,25.16,20.49,0.29,868.33,26.74,3.41 
2019-01-03 19:00:00,20.62,14.88,11.93,-0.42,868.47,28.9,1.87 
2019-01-03 19:15:00,6.92,4.99,3.79,-1.08,868.68,30.42,0.36 
2019-01-03 19:30:00,0,0,0,-1.67,868.89,32.17,0.26 
2019-01-03 19:45:00,0,0,0,-2.06,869.04,32.67,0.27 
2019-01-03 20:00:00,0,0,0,-2.41,869.24,34.16,0.26 
2019-01-03 20:15:00,0,0,0,-2.85,869.44,33.62,0.27 
2019-01-03 20:30:00,0,0,0,-3.42,869.62,34.27,0.27 
2019-01-03 20:45:00,0,0,0,-3.78,869.76,34.71,0.27 
2019-01-03 21:00:00,0,0,0,-4.17,869.89,36.03,0.27 
2019-01-03 21:15:00,0,0,0,-4.48,870.05,36.26,0.26 
2019-01-03 21:30:00,0,0,0,-5.26,870.1,37.64,0.26 
2019-01-03 21:45:00,0,0,0,-5.04,870.23,38.25,0.26 
2019-01-03 22:00:00,0,0,0,-5.2,870.22,38.9,0.26 
2019-01-03 22:15:00,0,0,0,-4.93,870.35,38.11,0.26 
2019-01-03 22:30:00,0,0,0,-5.62,870.37,39.31,0.26 
2019-01-03 22:45:00,0,0,0,-6.35,870.44,40.21,0.27 
2019-01-03 23:00:00,0,0,0,-6.72,870.59,41.38,0.26 
2019-01-03 23:15:00,0,0,0,-5.98,870.63,41.57,0.26 
2019-01-03 23:30:00,0,0,0,-6.26,870.66,41.55,0.27 
2019-01-03 23:45:00,0,0,0,-6.28,870.7,42.2,0.26 
2019-01-04 00:00:00,0,0,0,-6.88,870.66,42.48,0.27 
2019-01-04 00:15:00,0,0,0,-7.82,870.76,44.53,0.27 
2019-01-04 00:30:00,0,0,0,-7.8,870.74,46.13,0.27 
2019-01-04 00:45:00,0,0,0,-8.42,870.66,46.32,0.27 
2019-01-04 01:00:00,0,0,0,-8.52,870.59,46.93,0.27 
2019-01-04 01:15:00,0,0,0,-9.02,870.55,47.27,0.27 
2019-01-04 01:30:00,0,0,0,-9.38,870.53,48.52,0.27 
2019-01-04 01:45:00,0,0,0,-9.42,870.55,49,0.27 
2019-01-04 02:00:00,0,0,0,-9.57,870.56,48.95,0.27 
2019-01-04 02:15:00,0,0,0,-9.61,870.61,49.63,0.27 
2019-01-04 02:30:00,0,0,0,-9.47,870.58,49.28,0.27 
2019-01-04 02:45:00,0,0,0,-9.52,870.65,49.6,0.27 
2019-01-04 03:00:00,0,0,0,-9.96,870.63,50.44,0.28 
2019-01-04 03:15:00,0,0,0,-9.87,870.69,50.91,0.28 
2019-01-04 03:30:00,0,0,0,-10.07,870.63,50.96,0.28 
2019-01-04 03:45:00,0,0,0,-10.13,870.88,51.71,0.27 
2019-01-04 04:00:00,0,0,0,-10.54,870.94,52.11,0.28 
2019-01-04 04:15:00,0,0,0,-10.33,871.13,52.38,0.27 
2019-01-04 04:30:00,0,0,0,-10.34,871.22,52.28,0.28 
2019-01-04 04:45:00,0,0,0,-10.51,871.33,52.25,0.28 
2019-01-04 05:00:00,0,0,0,-10.46,871.6,52.86,0.28 
2019-01-04 05:15:00,0,0,0,-10.59,871.73,53.23,0.28 
2019-01-04 05:30:00,0,0,0,-10.58,871.6,53.08,0.28 
2019-01-04 05:45:00,0,0,0,-10.79,871.74,53.37,0.28 
2019-01-04 06:00:00,0,0,0,-10.97,871.53,53.21,0.28 
2019-01-04 06:15:00,0,0,0,-10.6,871.49,53.46,0.28 
2019-01-04 06:30:00,0,0,0,-10.57,871.17,52.95,0.28 
2019-01-04 06:45:00,0,0,0,-10.55,871.09,53.04,0.28 
2019-01-04 07:00:00,0,0,0,-11.03,871.18,53.3,0.27 
2019-01-04 07:15:00,0,0,0,-11.08,871.2,54.01,0.28 
2019-01-04 07:30:00,0,0,0,-11.09,871.47,54.21,0.28 
2019-01-04 07:45:00,0,0,0,-11.38,871.47,54.58,0.27 
2019-01-04 08:00:00,0,0,0,-11.16,871.49,54.95,0.28 
2019-01-04 08:15:00,0,0,0,-11.04,871.14,54.44,0.27 
2019-01-04 08:30:00,0,0,0,-11.31,871.22,54.63,0.27 
2019-01-04 08:45:00,0,0,0,-11.43,871.13,55.1,0.27 
2019-01-04 09:00:00,0,0,0,-11.41,871.01,55.16,0.27 
2019-01-04 09:15:00,0,0,0,-11.53,870.88,55.07,0.27 
2019-01-04 09:30:00,0,0,0,-11.36,870.47,54.9,0.28 
2019-01-04 09:45:00,0,0,0,-11.01,870.11,54.83,0.28 
2019-01-04 10:00:00,0,0,0,-10.93,869.95,54.35,0.35 
2019-01-04 10:15:00,5.49,3.96,3.09,-11.02,869.98,54.25,2.39 
2019-01-04 10:30:00,32.13,23.18,19.49,-11.15,869.7,54.95,6.49 
2019-01-04 10:45:00,56.97,41.1,37.1,-10.32,869.54,54.27,9.71 
2019-01-04 11:00:00,87.26,62.96,59.01,-9.4,869.36,52.51,13.09 
2019-01-04 11:15:00,126.23,91.07,86.57,-8.35,869.35,50.7,20.02 
2019-01-04 11:30:00,164.52,118.7,113,-7.3,868.98,48.48,33.49 
2019-01-04 11:45:00,204.71,147.7,140.53,-5.86,868.69,45.46,43.84 
2019-01-04 12:00:00,240.79,173.73,166.38,-4.53,868.41,39.87,52.58 
2019-01-04 12:15:00,222.15,160.28,190.16,-4.3,867.82,38.75,59.82 
2019-01-04 12:30:00,308.73,222.75,139.72,-3.68,867.53,35.72,65.66 
2019-01-04 12:45:00,337.55,243.54,238.29,-3.96,867.32,34.92,69.94 
2019-01-04 13:00:00,359.65,259.49,255.32,-4.05,866.96,34.83,74.69 
2019-01-04 13:15:00,387.73,279.74,277.03,-4.17,866.45,35.31,77.14 
2019-01-04 13:30:00,417,300.87,301.68,-4.43,865.96,36.73,83.44 
2019-01-04 13:45:00,429.87,310.15,310.98,-2.73,865.57,33.21,85.09 
2019-01-04 14:00:00,438.81,316.6,316.32,-2.48,865.14,32.14,86.87 
2019-01-04 14:15:00,453.97,327.54,326.35,-3.31,864.78,33.65,87.83 
2019-01-04 14:30:00,456.69,329.5,327.54,-3.41,864.67,34.46,86.36 
2019-01-04 14:45:00,446.15,321.9,320.19,-2.98,864.36,33.78,86.35 
2019-01-04 15:00:00,461.4,332.9,328.42,-2.76,864.03,32.64,88.54 
2019-01-04 15:15:00,487.55,351.77,341.18,-1.98,863.75,31.3,85.34 
2019-01-04 15:30:00,419.69,302.81,293.5,-1.77,863.4,30.45,70.72 
